"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1981-02",1981,2,0.0466022547345497,0,0.206986738180535,0.0386559733158331
"1981-03",1981,3,0.0285772591388819,0,0.231477195239653,0.0504557176399837
"1981-04",1981,4,0.191267827548704,0.016054676932036,0.466726322821639,0.115105855528242
"1981-05",1981,5,0.0066613633255911,0,0.139743380931458,0.0195030019091793
"1981-06",1981,6,0.380298013945119,0.044488281444179,0.724880031103503,0.16291599665328
"1981-07",1981,7,0.368353797754776,0.0267781754206528,0.742713736357477,0.154886602578279
"1981-08",1981,8,0.389776120405058,0,0.688711262121933,0.130863387461209
"1981-09",1981,9,0.444503758779556,0.208411371623027,0.788142000128535,0.117189427667536
"1981-10",1981,10,0.26255156053455,0.120641641529596,0.461915575616038,0.070252416000836
"1981-11",1981,11,0.114071359979742,0.0335066915616544,0.319742903216939,0.0541882015177537
"1981-12",1981,12,0.126515522220319,0.0845848805425639,0.236494617192676,0.0291514828656792
"1982-01",1982,1,0.0737615011619145,0.0291139077420577,0.121981291991641,0.0177096787000188
"1982-02",1982,2,0.000216022697337004,0,0.027030615362799,0.00155805426735377
"1982-03",1982,3,0.00100868465113371,0,0.0404441476808097,0.00454200969542792
"1982-04",1982,4,0.100437109466489,0.00393670878956396,0.20087065741775,0.0437018666646243
"1982-05",1982,5,0.126659798942941,0,0.337351446018487,0.0843414043516301
"1982-06",1982,6,0.111896492228107,0,0.357561429553488,0.099265476192606
"1982-07",1982,7,0.340320986617136,0.0272911268167167,0.623056763581953,0.14833396680716
"1982-08",1982,8,0.401003123175591,0.127231957081035,0.653753413935142,0.114151605752737
"1982-09",1982,9,0.20111243389116,0.0398254148362595,0.331199537518406,0.0612237481069634
"1982-10",1982,10,0.301931519079322,0.169807561392829,0.625033059428468,0.0836157104905234
"1982-11",1982,11,0.186236479082444,0.113350423577902,0.334692781600453,0.0407420910814028
"1982-12",1982,12,0.0432184651999366,0,0.149994799981154,0.0344210049202872
"1983-01",1983,1,0.00748572553978728,0,0.100918705457605,0.0162596419171733
"1983-02",1983,2,0.00728324552611623,0,0.114096606467672,0.0215976000957422
"1983-03",1983,3,0.0832306341946023,0,0.202484380903248,0.0377265612747213
"1983-04",1983,4,0.0062565811107956,0,0.109956224397266,0.0164925243316766
"1983-05",1983,5,0.181920949463776,0,0.459337810026727,0.124851862275281
"1983-06",1983,6,0.118439923439018,0,0.290725480549654,0.0881836183368039
"1983-07",1983,7,0.222566016507502,0.0362362137347194,0.438791374588967,0.0931379356825869
"1983-08",1983,8,0.367289489245425,0.0701148170025591,0.712782504014014,0.127457625157131
"1983-09",1983,9,0.388169780541959,0.176730311018477,0.628945566444676,0.112757238534248
"1983-10",1983,10,0.222577223346858,0.0863179915660656,0.435242121570388,0.0767613243963079
"1983-11",1983,11,0.122079050978815,0.0545365276934296,0.2433361475577,0.0347392584167207
"1983-12",1983,12,0.142150819747522,0.0934422950491294,0.195836538770386,0.0174328685713828
"1984-01",1984,1,4.65248663954267e-06,0,0.00622633037649281,0.000155499059710352
"1984-02",1984,2,0.0447904249949679,0,0.284766490460767,0.0647880512895626
"1984-03",1984,3,0.02549223279384,0,0.1752150682555,0.0360220039085932
"1984-04",1984,4,0.127746345572299,0,0.375305751146722,0.0809027880647853
