"Date","Year","Month","Basin_Mean","Basin_Median","Basin_Min","Basin_Max","Basin_SD","Valid_Pixels","Total_Pixels","Coverage_Pct","Date_formatted"
"1994-08",1994,8,0.236,0.346,-0.795,1.039,0.431,863,863,100,1994-08-01
"1994-09",1994,9,-0.163,-0.19,-0.959,1.001,0.341,863,863,100,1994-09-01
"1994-10",1994,10,-0.071,-0.081,-0.865,0.844,0.295,863,863,100,1994-10-01
"1994-11",1994,11,-0.323,-0.405,-1.207,0.791,0.433,863,863,100,1994-11-01
"1994-12",1994,12,-0.291,-0.361,-1.194,0.574,0.433,863,863,100,1994-12-01
"1995-01",1995,1,0.149,0.171,-0.982,1.121,0.402,863,863,100,1995-01-01
"1995-02",1995,2,0.134,0.09,-1.066,1.186,0.377,863,863,100,1995-02-01
"1995-03",1995,3,0.17,0.131,-1.039,1.095,0.299,863,863,100,1995-03-01
"1995-04",1995,4,0.212,0.201,-0.794,0.759,0.267,863,863,100,1995-04-01
"1995-05",1995,5,0.508,0.656,-1.394,1.451,0.594,863,863,100,1995-05-01
"1995-06",1995,6,0.64,0.911,-1.314,1.692,0.745,863,863,100,1995-06-01
"1995-07",1995,7,0.199,0.24,-0.687,0.953,0.385,863,863,100,1995-07-01
"1995-08",1995,8,0.064,0.081,-0.534,0.577,0.214,863,863,100,1995-08-01
"1995-09",1995,9,0.664,1.011,-1.489,1.597,0.831,863,863,100,1995-09-01
"1995-10",1995,10,0.447,0.561,-1.029,1.598,0.595,863,863,100,1995-10-01
"1995-11",1995,11,0.1,0.013,-0.864,1.119,0.385,863,863,100,1995-11-01
"1995-12",1995,12,0.024,0.001,-0.946,0.866,0.387,863,863,100,1995-12-01
"1996-01",1996,1,-0.409,-0.551,-1.305,0.787,0.466,863,863,100,1996-01-01
"1996-02",1996,2,-0.211,-0.249,-0.936,0.656,0.293,863,863,100,1996-02-01
"1996-03",1996,3,-0.08,-0.084,-0.745,0.517,0.226,863,863,100,1996-03-01
"1996-04",1996,4,-0.595,-0.869,-1.265,1.069,0.687,863,863,100,1996-04-01
"1996-05",1996,5,-0.665,-0.945,-1.68,1.653,0.89,863,863,100,1996-05-01
"1996-06",1996,6,-0.61,-0.781,-1.852,1.834,0.784,863,863,100,1996-06-01
"1996-07",1996,7,-0.521,-0.703,-1.497,1.252,0.727,863,863,100,1996-07-01
