"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1967-04-01,1967,4,27.0060651484725,12.527690269053,82.4455032125115,10.1028026175033
1967-05-01,1967,5,62.0555818158337,15.4082360677421,332.196999341249,36.2303263694911
1967-06-01,1967,6,29.572480541498,10.317584965378,95.8188087679446,11.2607776729644
1967-07-01,1967,7,66.9968544054625,29.5112719759345,268.630593083799,28.6057673599896
1967-08-01,1967,8,37.4441135848169,6.9773433933733,138.308747671545,18.4408910516442
1967-09-01,1967,9,119.901270910095,35.45445157215,606.492049992085,72.3253239485858
1967-10-01,1967,10,150.375385864583,71.448246948421,746.720116585493,96.0864374849685
1967-11-01,1967,11,68.1266352551151,37.321737036109,378.836235031486,43.0541544985824
1967-12-01,1967,12,96.8898511475913,38.2103784941137,475.526789203286,65.7877063455821
1968-01-01,1968,1,133.897900079615,58.9953041635454,627.458577975631,96.9976797069173
1968-02-01,1968,2,45.7677032732156,21.7405168805271,272.643587552011,35.5211594190155
1968-03-01,1968,3,67.4843149055828,34.7769742365927,358.749311417341,43.3439245967741
1968-04-01,1968,4,83.1076125556401,28.6194426007569,532.716941088438,62.7423169096332
1968-05-01,1968,5,51.7241721888541,26.5547661110759,87.0016319677234,10.3325728446326
1968-06-01,1968,6,77.9637669706169,34.7610795870423,179.056548513472,27.0977582161018
1968-07-01,1968,7,64.7278117896711,23.4026159159839,147.54745317623,18.2862299088998
1968-08-01,1968,8,70.8970305442966,38.27273263596,168.682800605893,16.9814537226762
1968-09-01,1968,9,92.698014291252,45.0830580666661,437.927450984716,47.3003163611541
1968-10-01,1968,10,163.054976269405,71.492729941383,764.540625736117,103.243007170114
1968-11-01,1968,11,102.713923369022,30.8927963487804,582.836419343948,87.4270516256887
1968-12-01,1968,12,71.6957772091111,39.7624834440649,367.889927700162,48.8222356292687
1969-01-01,1969,1,39.8517039250762,24.0374819841236,181.495750322938,21.1748537413763
1969-02-01,1969,2,36.3400361555464,19.4904692471027,214.671421796083,28.0151634928005
1969-03-01,1969,3,35.1720560859358,14.360731234774,180.182812735438,22.603481009015
1969-04-01,1969,4,85.8375113204594,43.0379435420036,406.776331365108,44.8305051967272
1969-05-01,1969,5,35.3506089965665,16.9499691110104,89.9377043824643,10.7569008582846
1969-06-01,1969,6,57.1403748933142,28.3405277878046,105.02309538424,15.9207131710736
1969-07-01,1969,7,42.2398177169398,11.0824941657484,192.451962735504,23.2833830832714
1969-08-01,1969,8,118.34939777426,61.252431711182,556.677395477891,53.4849924009556
1969-09-01,1969,9,114.532657029798,69.5789675228298,303.188189864159,27.2044767564096
1969-10-01,1969,10,62.541147934197,32.0996725931764,294.825308956206,34.2633949956192
1969-11-01,1969,11,152.224282644809,38.6535306461155,784.327536821365,109.827102440354
1969-12-01,1969,12,80.2346872612497,30.0434799864888,430.157658644021,55.134228884478
1970-01-01,1970,1,61.6367886903563,31.5781396348029,332.860657013953,39.5871146936627
1970-02-01,1970,2,29.0316097370909,11.9519643485546,227.970134466887,28.3448963145609
1970-03-01,1970,3,61.1665667123182,25.4993000999093,377.289892174304,47.7265595904854
1970-04-01,1970,4,64.4590656327851,21.7814510688186,446.479059755802,57.3190531784596
1970-05-01,1970,5,82.2542435244649,35.1083627901971,373.548066243529,42.8765394340072
1970-06-01,1970,6,30.0603718770777,8.62141605466604,103.493384085596,15.6894665281014
1970-07-01,1970,7,68.1878796892401,25.8942553773522,187.709049321711,21.4477658412052
1970-08-01,1970,8,53.2634175251916,24.5333630591631,230.476902797818,23.1773524453262
1970-09-01,1970,9,78.2542070821644,40.1147129014134,310.736652463675,32.8827893309968
1970-10-01,1970,10,71.0474743808849,31.7616148386151,309.93971042335,39.6994731735743
1970-11-01,1970,11,65.0889735655202,38.0919291637838,212.452271953225,23.7858036531609
1970-12-01,1970,12,67.2531217034818,40.5993959866464,363.317569717765,42.7685335515779
1971-01-01,1971,1,121.813473668333,57.7400147449225,657.660935074091,98.9120940694741
1971-02-01,1971,2,57.6884991529385,21.1961548775434,357.797637581825,43.6056861725867
1971-03-01,1971,3,67.7947477632196,31.7207190673798,395.156017504632,48.2595034234325
1971-04-01,1971,4,59.4107605247206,18.4894166886806,314.635019749403,39.3051081658726
1971-05-01,1971,5,29.9936876689164,16.2140617612749,93.1684414390475,9.7657362060041
1971-06-01,1971,6,105.965089365551,64.0594563446939,223.801312968135,25.310034024114
1971-07-01,1971,7,55.8906309396172,26.0178737808019,125.720760785043,13.3810165356772
1971-08-01,1971,8,85.7283895228446,34.9869097117335,382.368791848421,39.7541616620795
1971-09-01,1971,9,88.236440105861,52.3325381800532,346.331913024187,31.5315985210368
1971-10-01,1971,10,92.8750613607399,34.3412314541638,585.427194833755,70.476291884425
1971-11-01,1971,11,129.400112379629,46.3903346098959,683.70508030057,92.2115412274041
1971-12-01,1971,12,72.3282261393391,40.6379820778966,355.189372785389,38.8967146081467
1972-01-01,1972,1,87.7290062591322,29.8430214170367,488.727938383818,74.7831271246038
1972-02-01,1972,2,104.413662654426,48.010631930083,540.32757692039,73.3380088793986
1972-03-01,1972,3,87.6716560306453,41.194427292794,546.88198491931,65.1262943456904
1972-04-01,1972,4,76.6248016184137,34.8860956728458,433.363113552332,52.0184402910698
1972-05-01,1972,5,25.1129761608893,4.18071068997961,181.189501192421,24.1494027724309
1972-06-01,1972,6,104.504371465161,45.605271589011,234.654061496258,20.3633894427596
1972-07-01,1972,7,91.4108133902489,51.9447245169431,174.003927968442,22.6900696490961
1972-08-01,1972,8,42.109229743093,14.8262833245099,111.175507772714,18.4811191512693
1972-09-01,1972,9,87.235374045632,52.0485662855208,217.800596728921,20.1941605982363
1972-10-01,1972,10,92.0022921468135,33.887105062604,359.182665124536,50.5890971673364
1972-11-01,1972,11,96.5014722080252,34.2727638781071,469.188261777163,60.2099735725779
1972-12-01,1972,12,101.498636562873,60.8848605770618,491.942955181003,59.8838296817975
1973-01-01,1973,1,122.970396381797,28.9720338769257,644.334312528372,101.892916576044
