"date","year","month","n_days","tas_mean_C","pr_total_mm"
2014-07-01,2014,7,31,13.6139665590865,152.606319819262
2014-08-01,2014,8,31,13.6784480381024,72.3952373983795
2014-09-01,2014,9,30,6.17608682293286,140.767847953405
2014-10-01,2014,10,31,2.73981176256202,104.659091282331
2014-11-01,2014,11,30,-7.82705407303346,104.802154629544
2014-12-01,2014,12,31,-12.6428077365082,65.1629946942221
2015-01-01,2015,1,31,-22.0714664477551,102.662664925207
2015-02-01,2015,2,28,-22.5551731996593,97.7818121165019
2015-03-01,2015,3,31,-15.8435395291274,36.4011957624047
2015-04-01,2015,4,30,-6.76283520697919,56.4856665906992
2015-05-01,2015,5,31,0.0317839453728433,103.984348694387
2015-06-01,2015,6,30,8.74155338075724,70.2841090403387
2015-07-01,2015,7,31,11.3267220333761,108.720263952148
2015-08-01,2015,8,31,13.0173995944749,172.926397192052
2015-09-01,2015,9,30,7.16072638524359,95.9693915780251
2015-10-01,2015,10,31,0.183327735908915,84.6078614857817
2015-11-01,2015,11,30,-6.18752434610785,79.6149519444739
2015-12-01,2015,12,31,-12.5697125474826,56.8069839283713
2016-01-01,2016,1,31,-15.8965514378181,51.9123342555186
2016-02-01,2016,2,29,-16.6253297985471,82.6426811389958
2016-03-01,2016,3,31,-14.8620458412598,77.9129322164924
2016-04-01,2016,4,30,-6.22059480396246,111.184962634667
2016-05-01,2016,5,31,1.09462620464133,71.7825132583915
2016-06-01,2016,6,30,7.02129634991105,126.260267192634
2016-07-01,2016,7,31,11.8213815171834,118.488252539325
2016-08-01,2016,8,31,11.7409483741712,126.486041631592
2016-09-01,2016,9,30,6.13234400768096,82.7864700131014
2016-10-01,2016,10,31,0.648254600305382,120.819779849718
2016-11-01,2016,11,30,-5.14654890268727,79.4403542002251
2016-12-01,2016,12,31,-17.0925534948981,43.4240830656578
2017-01-01,2017,1,31,-15.8312441140831,73.8898804103784
2017-02-01,2017,2,28,-17.7938778886405,60.5989158666875
2017-03-01,2017,3,31,-13.6479490629861,67.5552574092438
2017-04-01,2017,4,30,-6.50352584881903,40.76729930723
2017-05-01,2017,5,31,0.0648412434952236,86.2745996966755
2017-06-01,2017,6,30,7.07435328755524,119.33263487086
2017-07-01,2017,7,31,12.360623832422,142.112158659312
2017-08-01,2017,8,31,12.0259609834417,119.353773301361
2017-09-01,2017,9,30,7.08516415044248,100.300932405572
2017-10-01,2017,10,31,3.29598956373109,80.6326452279421
2017-11-01,2017,11,30,-4.65379992799441,121.921788543094
2017-12-01,2017,12,31,-10.6988613482694,108.630774369209
2018-01-01,2018,1,31,-16.879697376907,94.4873279200661
