Date,Parameter,Discharge_cms,Symbol
1977-11-24,Flow,1.12000000476837,B
1977-11-25,Flow,1.12999999523163,B
1977-11-26,Flow,1.11000001430511,B
1977-11-27,Flow,1.10000002384186,B
1977-11-28,Flow,1.11000001430511,B
1977-11-29,Flow,1.12999999523163,B
1977-11-30,Flow,1.12000000476837,B
1977-12-01,Flow,1.10000002384186,B
1977-12-02,Flow,1.08000004291534,B
1977-12-03,Flow,1.04999995231628,B
1977-12-04,Flow,1.01999998092651,B
1977-12-05,Flow,0.99099999666214,B
1977-12-06,Flow,0.971000015735626,B
1977-12-07,Flow,0.962999999523163,B
1977-12-08,Flow,0.939999997615814,B
1977-12-09,Flow,0.934000015258789,B
1977-12-10,Flow,0.9200000166893,B
1977-12-11,Flow,0.912000000476837,B
1977-12-12,Flow,0.906000018119812,B
1977-12-13,Flow,0.902999997138977,B
1977-12-14,Flow,0.892000019550323,B
1977-12-15,Flow,0.878000020980835,B
1977-12-16,Flow,0.861000001430511,B
1977-12-17,Flow,0.850000023841858,B
1977-12-18,Flow,0.829999983310699,B
1977-12-19,Flow,0.815999984741211,B
1977-12-20,Flow,0.790000021457672,B
1977-12-21,Flow,0.769999980926514,B
1977-12-22,Flow,0.755999982357025,B
1977-12-23,Flow,0.739000022411346,B
1977-12-24,Flow,0.722000002861023,B
1977-12-25,Flow,0.708000004291534,B
1977-12-26,Flow,0.694000005722046,B
1977-12-27,Flow,0.681999981403351,B
1977-12-28,Flow,0.665000021457672,B
1977-12-29,Flow,0.651000022888184,B
1977-12-30,Flow,0.639999985694885,B
1977-12-31,Flow,0.629000008106232,B
1978-01-01,Flow,0.614000022411346,B
1978-01-02,Flow,0.600000023841858,B
1978-01-03,Flow,0.586000025272369,B
1978-01-04,Flow,0.572000026702881,B
1978-01-05,Flow,0.560999989509583,B
1978-01-06,Flow,0.549000024795532,B
1978-01-07,Flow,0.537999987602234,B
1978-01-08,Flow,0.52700001001358,B
1978-01-09,Flow,0.514999985694885,B
1978-01-10,Flow,0.504000008106232,B
1978-01-11,Flow,0.493000000715256,B
1978-01-12,Flow,0.483999997377396,B
1978-01-13,Flow,0.476000010967255,B
1978-01-14,Flow,0.467000007629394,B
1978-01-15,Flow,0.458999991416931,B
1978-01-16,Flow,0.449999988079071,B
1978-01-17,Flow,0.44200000166893,B
1978-01-18,Flow,0.435999989509583,B
1978-01-19,Flow,0.430000007152557,B
1978-01-20,Flow,0.425000011920929,B
1978-01-21,Flow,0.416000008583069,B
1978-01-22,Flow,0.407999992370606,B
1978-01-23,Flow,0.398999989032745,B
1978-01-24,Flow,0.393999993801117,B
1978-01-25,Flow,0.388000011444092,B
1978-01-26,Flow,0.381999999284744,B
1978-01-27,Flow,0.377000004053116,B
1978-01-28,Flow,0.370999991893768,B
1978-01-29,Flow,0.365000009536743,B
1978-01-30,Flow,0.361999988555908,B
1978-01-31,Flow,0.360000014305115,B
1978-02-01,Flow,0.35699999332428,B
1978-02-02,Flow,0.351000010967255,B
1978-02-03,Flow,0.34799998998642,B
1978-02-04,Flow,0.342999994754791,B
1978-02-05,Flow,0.340000003576279,B
1978-02-06,Flow,0.340000003576279,B
1978-02-07,Flow,0.337000012397766,B
1978-02-08,Flow,0.337000012397766,B
